Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Profession,Notes,Valid?
GO001,Eliminated,SCS2,"Director, GO East",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO002,Eliminated,SCS2,"Director, GO East Midlands",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO003,Eliminated,SCS2,"Director, GO London",Post eliminated,Department for Communities and Local Government,Government Office Network,GO London,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO004,Eliminated,SCS2,"Director, GO Network Centre and Services",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO005,Eliminated,SCS2,"Director, GO North East",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO006,Eliminated,SCS2,"Director, GO North West",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO007,Eliminated,SCS2,"Director, GO South East",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO008,Eliminated,SCS2,"Director, GO South West",Post eliminated,Department for Communities and Local Government,Government Office Network,GO South West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO009,Eliminated,SCS2,"Director, GO West Midlands",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO010,Eliminated,SCS2,"Director, GO Yorkshire & Humber",Post eliminated,Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO011,Eliminated,SCS1A,"Deputy to the Director, GO North West",Post eliminated,Department for Communities and Local Government,Government Office Network,GO North West,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO012,Eliminated,SCS1A,"Deputy to the Director, GO West Midlands",Post eliminated,Department for Communities and Local Government,Government Office Network,GO West Midlands,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO013,Eliminated,SCS1,"Deputy Director, Corporate Services",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO014,Eliminated,SCS1,"Deputy Director, Development and Infrastructure",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO015,Eliminated,SCS1,"Deputy Director, Economy and Environment",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO016,Eliminated,SCS1,"Deputy Director, Localism and Decentralisation",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
GO017,Eliminated,SCS1,"Deputy Director, Safer and Stronger Communities",Post eliminated,Department for Communities and Local Government,Government Office Network,GO East,N/A,N/A,XX,0,1,0,0,,,The Government Office Network has now closed. This post no longer exists.,1
